design_id,status,source_file,projection,width_mm,height_mm,thickness_mm,area_mm2,svg_file,error
75903,design_alias,parts/57520.dat,XY,25.8,25.379,8.0,473.885,svg/75903.svg,
85543,exact,parts/85543.dat,XY,16.87,16.87,1.667,212.616,svg/85543.svg,
85984,exact,parts/85984.dat,XZ,16.2,8.2,6.24,128.0,svg/85984.svg,
87079,exact,parts/87079.dat,XZ,32.2,16.2,3.2,512.0,svg/87079.svg,
87083,exact,parts/87083.dat,XZ,32.2,6.6,6.4,154.88,svg/87083.svg,
87580,exact,parts/87580.dat,XZ,16.2,16.2,4.8,256.0,svg/87580.svg,
92402,exact,parts/92402.dat,XY,30.601,30.601,13.6,722.853,svg/92402.svg,
92593,exact,parts/92593.dat,XZ,32.2,8.2,4.8,256.0,svg/92593.svg,
93273,exact,parts/93273.dat,XZ,8.2,32.2,6.4,256.0,svg/93273.svg,
93604,exact,parts/93604.dat,XZ,32.2,24.2,6.4,716.215,svg/93604.svg,
93606,exact,parts/93606.dat,XZ,16.2,32.2,9.6,512.0,svg/93606.svg,
99008,exact,parts/99008.dat,XZ,32.2,5.0,4.8,153.6,svg/99008.svg,
99009,exact,parts/99009.dat,XZ,23.4,21.8,13.2,382.488,svg/99009.svg,
99206,exact,parts/99206.dat,XZ,16.2,17.8,8.0,271.36,svg/99206.svg,
99207,exact,parts/99207.dat,XY,16.2,16.2,11.2,255.7,svg/99207.svg,
99780,exact,parts/99780.dat,XZ,16.2,11.4,8.0,168.96,svg/99780.svg,
99781,exact,parts/99781.dat,XZ,16.2,11.4,9.6,168.96,svg/99781.svg,
