SetNumber,ElementID,Qty,Colour,Category,DesignID,ElementName,ImageURL,ElementSetCount,GeometryStatus,Projection,WidthMM,HeightMM,ThicknessMM,StorageMode,RecommendedDepthMM,FloorWidthMM,FloorHeightMM,FloorAreaMM2
17101-1,4560181,1,Bright Yellow,Plates,87079,FLAT TILE 2X4,/cdn/product-assets/element.img.lod5photo.192x192/4560181.jpg,204,exact,XZ,32.2,16.2,3.2,shadow_stack,5.2,36.2,20.2,731.24
17101-1,6206240,3,Bright Yellow,Bricks,31493,BRICK 1X2 WITH CROSS HOLE,/cdn/product-assets/element.img.lod5photo.192x192/6206240.jpg,120,exact,XY,16.2,11.4,8.0,shadow_stack,26.0,20.2,16.0,323.2
17101-1,4187122,1,Bright Yellow,Technic Beams,43857,TECHNIC 2M BEAM,/cdn/product-assets/element.img.lod5photo.192x192/4187122.jpg,60,exact,YZ,8.2,15.4,7.2,shadow_stack,9.2,16.0,19.4,310.4
17101-1,6072627,1,Bright Yellow,Technic Beams,60484,T-BEAM 3X3 W/HOLE Ã˜4.8,/cdn/product-assets/element.img.lod5photo.192x192/6072627.jpg,35,exact,XZ,23.404,23.402,8.0,shadow_stack,10.0,27.4,27.4,750.92
17101-1,6130007,6,Bright Yellow,Connectors,4519,CROSS AXLE 3M,/cdn/product-assets/element.img.lod5photo.192x192/6130007.jpg,562,exact,XZ,24.2,5.0,4.8,shadow_stack,30.8,28.2,16.0,451.2
17101-1,6130009,2,Bright Yellow,Connectors,44294,CROSS AXLE 7M,/cdn/product-assets/element.img.lod5photo.192x192/6130009.jpg,182,exact,XZ,56.2,5.0,4.8,shadow_stack,11.6,60.2,16.0,963.2
17101-1,6271167,12,Bright Yellow,Connectors,42136,1/2 BUSH,/cdn/product-assets/element.img.lod5photo.192x192/6271167.jpg,409,design_alias,XY,7.404,7.404,4.0,edge_magazine,42.0,16.0,16.0,256.0
17101-1,6375678,3,Bright Yellow,Connectors,42135,CATCH W. CROSS HOLE,/cdn/product-assets/element.img.lod5photo.192x192/6375678.jpg,29,relationship_alias,XZ,8.2,15.8,7.2,shadow_stack,23.6,16.0,19.8,316.8
17101-1,4220632,2,Bright Yellowish Green,Bricks,3003,BRICK 2X2,/cdn/cs/set/assets/blte84058384b41e8e6/4220632.jpg,237,exact,XZ,16.2,16.2,11.2,shadow_stack,24.4,20.2,20.2,408.04
17101-1,6121816,2,Bright Yellowish Green,Plates,4740,SATELLITE DISH Ã˜16,/cdn/product-assets/element.img.lod5photo.192x192/6121816.jpg,12,exact,XZ,16.204,16.204,4.8,shadow_stack,11.6,20.2,20.2,408.2
17101-1,4640891,4,Dark Azur,Plates,3795,PLATE 2X6,/cdn/product-assets/element.img.lod5photo.192x192/4640891.jpg,72,exact,XZ,48.2,16.2,4.8,shadow_stack,21.2,52.2,20.2,1054.44
17101-1,4640901,4,Dark Azur,Bricks,50950,BRICK W/BOW 1/3,/cdn/product-assets/element.img.lod5photo.192x192/4640901.jpg,34,exact,XZ,8.2,24.2,9.6,shadow_stack,40.4,16.0,28.2,451.2
17101-1,4653988,21,Dark Azur,Plates,3023,PLATE 1X2,/cdn/cs/set/assets/blt046b73e7f814525d/4653988.jpg,179,exact,XZ,16.2,8.2,4.8,deep_counted_bin,42.0,20.2,16.0,323.2
17101-1,6004943,6,Dark Azur,Bricks,3004,BRICK 1X2,/cdn/cs/set/assets/blt87900a9e7c657875/6004943.jpg,123,exact,XY,16.2,11.4,8.0,edge_magazine,42.0,20.2,16.0,323.2
17101-1,6029163,3,Dark Azur,Plates,87580,PLATE 2X2 W 1 KNOB,/cdn/product-assets/element.img.lod5photo.192x192/6029163.jpg,61,exact,XZ,16.2,16.2,4.8,shadow_stack,16.4,20.2,20.2,408.04
17101-1,6031839,3,Dark Azur,Bricks,93606,BRICK W. BOW 2X4,/cdn/product-assets/element.img.lod5photo.192x192/6031839.jpg,12,exact,XZ,16.2,32.2,9.6,shadow_stack,30.8,20.2,36.2,731.24
17101-1,6078296,4,Dark Azur,Plates,44375,PARABOLA 6X6,/cdn/product-assets/element.img.lod5photo.192x192/6078296.jpg,1,exact,XZ,48.2,48.2,8.0,shadow_stack,34.0,52.2,52.2,2724.89
17101-1,6078297,10,Dark Azur,Bricks,3660,ROOF TILE 2X2/45 INV.,/cdn/product-assets/element.img.lod5photo.192x192/6078297.jpg,11,exact,XZ,16.2,16.2,11.2,edge_magazine,42.0,20.2,20.2,408.04
17101-1,6137300,16,Dark Azur,Bricks,11477,PLATE W. BOW 1X2X2/3,/cdn/product-assets/element.img.lod5photo.192x192/6137300.jpg,88,exact,XZ,8.2,16.2,6.4,deep_counted_bin,42.0,16.0,20.2,323.2
17101-1,6144149,8,Dark Azur,Plates,3021,PLATE 2X3,/cdn/product-assets/element.img.lod5photo.192x192/6144149.jpg,85,exact,XZ,24.2,16.2,4.8,shadow_stack,40.4,28.2,20.2,569.64
17101-1,6151664,20,Dark Azur,Plates,3024,PLATE 1X1,/cdn/product-assets/element.img.lod5photo.192x192/6151664.jpg,103,exact,XZ,8.2,8.2,4.8,deep_counted_bin,42.0,16.0,16.0,256.0
17101-1,6151670,1,Dark Azur,Bricks,41747,RIGHT SHELL 2X6 W/BOW/ANGLE,/cdn/product-assets/element.img.lod5photo.192x192/6151670.jpg,3,exact,XZ,16.2,48.2,11.2,shadow_stack,13.2,20.2,52.2,1054.44
17101-1,6151672,1,Dark Azur,Bricks,41748,LEFT SHELL 2X6 W/BOW/ANGLE,/cdn/product-assets/element.img.lod5photo.192x192/6151672.jpg,3,exact,XZ,16.2,48.2,11.2,shadow_stack,13.2,20.2,52.2,1054.44
17101-1,6185545,4,Dark Azur,Plates,92593,PLATE 1X4 W. 2 KNOBS,/cdn/product-assets/element.img.lod5photo.192x192/6185545.jpg,4,exact,XZ,32.2,8.2,4.8,shadow_stack,21.2,36.2,16.0,579.2
17101-1,6185546,5,Dark Azur,Bricks,32531,"4X6 BRICK, Ø 4,85",/cdn/product-assets/element.img.lod5photo.192x192/6185546.jpg,13,exact,XZ,32.2,48.2,11.2,edge_magazine,42.0,36.2,52.2,1889.64
